Customer Id,Order date,Order Id,Product Id,Segment,Ship date,Ship mode,Discount,Postal code,Profit,Quantity,Row Id,Sales
3,2023-10-16,1,1604,Corporate,2024-09-14,First Class,0.08,21893,387.26,5,1,2164.47
394,2023-10-08,2,648,Home Office,2023-07-07,Same Day,0.08,02411,317.62,8,2,2109.97
745,2024-07-02,3,840,Corporate,2022-11-11,Second Class,0.48,99375,969.25,4,3,856.04
745,2024-01-12,4,725,Corporate,2024-06-07,Same Day,0.31,70219,936.98,3,4,820.15
110,2025-05-12,5,744,Corporate,2022-10-09,Same Day,0.08,58580,216.9,8,5,3520.44
511,2023-01-25,6,1709,Home Office,2024-01-07,Standard Class,0.29,04877,1000.73,4,6,4518.56
339,2023-03-31,7,1776,Home Office,2025-02-01,Same Day,0.5,04420,1824.4,4,7,4960.69
418,2024-08-18,8,670,Home Office,2022-08-24,Same Day,0.36,64878,763.79,9,8,722.15
612,2023-02-24,9,326,Consumer,2022-09-04,Same Day,0.4,72385,667.98,5,9,4290.4
682,2024-10-30,10,1165,Consumer,2024-03-02,Same Day,0.16,25018,-431.86,9,10,2427.68
2,2023-11-05,11,1500,Corporate,2025-08-11,Standard Class,0.38,45804,1253.54,2,11,4991.84
131,2023-01-28,12,1248,Corporate,2023-02-26,Standard Class,0.28,34071,621.9,3,12,1143.01
277,2023-03-10,13,903,Consumer,2025-05-08,First Class,0.11,72254,75.08,9,13,2952.8
117,2025-06-29,14,421,Home Office,2022-12-22,Second Class,0.45,80910,550.0,4,14,3565.46
781,2024-08-23,15,1349,Corporate,2025-04-11,Standard Class,0.08,04357,1702.14,2,15,1153.78
20,2024-02-14,16,1860,Home Office,2024-08-31,First Class,0.25,89983,154.21,2,16,968.69
34,2023-09-28,17,739,Consumer,2022-08-31,First Class,0.44,39132,-280.35,4,17,4716.9
607,2024-11-30,18,607,Consumer,2022-11-30,First Class,0.15,88351,120.9,4,18,841.8
422,2024-12-22,19,1642,Consumer,2022-09-24,First Class,0.04,20092,256.45,3,19,1321.42
121,2024-04-09,20,1052,Corporate,2023-07-27,Second Class,0.08,75090,1958.21,9,20,3670.85
218,2023-03-16,21,659,Corporate,2024-07-02,First Class,0.04,67678,-57.45,6,21,3293.61
743,2023-10-30,22,1250,Consumer,2022-11-02,First Class,0.46,62425,260.28,9,22,740.26
544,2024-05-30,23,284,Consumer,2024-01-23,Standard Class,0.29,18709,1301.13,3,23,4618.31
98,2023-04-01,24,1638,Consumer,2024-08-29,Standard Class,0.45,22130,-451.05,7,24,4183.99
471,2024-08-02,25,1426,Consumer,2022-09-30,Standard Class,0.17,28210,1993.68,9,25,4485.87
475,2025-06-15,26,644,Corporate,2024-08-14,Same Day,0.36,98713,1336.73,5,26,2760.71
39,2025-01-10,27,945,Consumer,2023-12-26,First Class,0.14,60838,1226.34,4,27,1760.33
451,2022-09-24,28,401,Corporate,2025-07-05,Standard Class,0.11,02226,1698.02,4,28,3145.22
717,2023-11-06,29,1119,Home Office,2023-10-08,Same Day,0.35,02411,1556.46,4,29,3118.62
45,2025-02-15,30,237,Home Office,2023-04-09,Standard Class,0.01,23438,1548.47,8,30,1741.97
319,2024-03-13,31,169,Corporate,2024-09-20,Standard Class,0.02,62325,243.47,1,31,554.38
672,2024-06-03,32,1091,Corporate,2023-10-09,Same Day,0.21,37662,-23.7,2,32,2747.24
730,2025-04-11,33,516,Corporate,2023-01-20,Same Day,0.01,54664,356.73,3,33,2121.12
274,2023-01-17,34,1079,Consumer,2024-10-21,Standard Class,0.4,07366,1830.31,9,34,1823.27
5,2024-12-29,35,209,Home Office,2023-04-06,Standard Class,0.34,75201,966.2,2,35,1956.35
106,2023-07-21,36,455,Consumer,2024-10-18,Standard Class,0.07,60838,994.11,5,36,3441.51
471,2025-08-16,37,716,Corporate,2025-02-28,First Class,0.11,90040,-200.72,3,37,65.72
42,2024-01-16,38,1328,Home Office,2023-09-27,First Class,0.16,34146,1575.93,6,38,3778.15
12,2024-07-17,39,1148,Consumer,2025-04-21,First Class,0.05,78569,339.9,2,39,2084.47
80,2024-10-04,40,1201,Consumer,2023-02-24,Same Day,0.32,45192,-121.15,5,40,4379.72
126,2024-11-27,41,810,Corporate,2025-01-19,First Class,0.2,18884,51.9,9,41,436.42
614,2022-10-02,42,103,Corporate,2023-09-23,Second Class,0.47,65508,1932.58,2,42,2260.56
518,2023-05-14,43,1117,Corporate,2025-01-12,Second Class,0.2,32800,-145.37,3,43,110.26
726,2023-04-04,44,873,Home Office,2022-10-05,Same Day,0.34,87272,1127.71,1,44,3736.98
742,2024-03-19,45,338,Consumer,2023-06-17,Second Class,0.16,03776,-206.31,5,45,1483.35
